Timestamp,Review,Cleaned_Review
2025/02/10 7:40:54 pm GMT+8,"Im happy with uniten actually, even the people are W",im happy united actually even people good
2025/02/10 7:41:00 pm GMT+8,"I’m having a pretty good time here, happy to meet all of the W people.",i’m pretty good time happy meet good people
2025/02/10 7:41:19 pm GMT+8,a very neutral place in terms of everything,neutral place terms everything
2025/02/10 7:46:40 pm GMT+8,"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.",would say united good university issue need improved transportationwifi networks facilities well
2025/02/10 7:46:43 pm GMT+8," UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find.",united wellregarded particularly strong engineering computer science business programs solid reputation malaysia especially energyrelated fields negative part facilities swimming pool close since first year till year limited parking make hard find
2025/02/10 7:50:23 pm GMT+8,Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings,neutral currently united developed various new facilities united students hours smart personally negative side would say united needs fix broken toilet library buildings
2025/02/10 7:51:50 pm GMT+8,regret,regret
2025/02/10 7:56:00 pm GMT+8,"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities.",opinion united really studentoriented university even though private university facility wellmaintained condition flexibility using facilities low number students also low compared universities
2025/02/10 7:57:43 pm GMT+8,"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities.",united today shadow former self attracted united first place anymore eg faculty building student dedicated website terrible name thousands thousands website infinitely better hostel room application ridiculous pros could ever think location campus situated near major cities
2025/02/10 7:58:31 pm GMT+8,The great place and people that I will remember forever ,great place people remember forever
2025/02/10 7:59:18 pm GMT+8,UNITEN is an interesting university because it's Tenaga university or the national energy university,united interesting university teenage university national energy university
2025/02/10 7:59:26 pm GMT+8,Good enviroment and facilities,good environment facilities
2025/02/10 7:59:28 pm GMT+8,"For me, Uniten just a neutral for me because there is some positive and negative aspect for it. For example, positive side of it, is about supportive and easy going lecturer. Meanwhile negative side is about wifi connection is slow in certain areas.",united neutral positive negative aspect example positive side supportive easy going lecturer meanwhile negative side wifi connection slow certain areas
2025/02/10 7:59:37 pm GMT+8,Honestly uniten I feel like uniten is not the best neither the worst. I just feel like there are many more things to improve throughout the campus,honestly united feel like united best neither worst feel like many things improve throughout campus
2025/02/10 8:00:24 pm GMT+8,"UNITEN is a solid choice for students interested in engineering, IT, or energy-related fields, offering strong industry connections and modern facilities. However, its specialized focus and location may not suit everyone. If you’re looking for a university with a strong technical emphasis and ties to the energy sector, UNITEN could be a great fit. If you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.",united solid choice students interested engineering energyrelated fields offering strong industry connections modern facilities however specialized focus location may suit everyone you’re looking university strong technical emphasis ties energy sector united could great fit prefer diverse academic environment bustling social scene might want explore options
2025/02/10 8:00:44 pm GMT+8,Bad in managemn,bad manager
2025/02/10 8:00:47 pm GMT+8,I have faced a lot of problems while being in UNITEN such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,faced lot problems united internet connectivity facilities good condition air conditioning sometimes working
2025/02/10 8:02:06 pm GMT+8,"Uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. The miscellaneous fee is still undefined. I think student should know what are they paying for.",united great facilities always give freedom students choose facilities upgrade progressing slow miscellaneous fee still undefined think student know paying
2025/02/10 8:02:18 pm GMT+8,"Uniten is unnecessarily expensive for the service it's offering. It is practically 10 times the price of a normal public university with barely any additional service. Most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. The service quality also isn't much better than the local ones therefore making the price tags makes less sense. The management side also isn't a huge downside. Schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. Overall, 10/10, will never do this again.",united unnecessarily expensive service offering practically times price normal public university barely additional service service center broken road light doesnt even lit certain buildings either close straight close making layout campus make less less sense throughout year service quality also isnt much better local ones therefore making price tags makes less sense management side also isnt huge downside schedule mess events handled exchange student comfort report system keep making us report thing instead putting timer weight solve solution overall never
2025/02/10 8:02:38 pm GMT+8,"FIrst of all, UNITEN Strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. The course selection is abundance and align with modern world. Then, their proximity to bunch of food is very convenient. That what I could deem positive part about it. For neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at BM, then we found poor class such as BV Theatre, then we have Library which is such a good benchmark for other theatre. The road is serviceable. Then for bad part is their management, slow, frustrating and could be very annoying. The event are subpar at best, the SRC is barely noticeable. In general, bunch of Uniten features, they are towards the right direction but lacking at execution. ",first united strong point lecturer many great lecturers precious knowledge willing share course selection abundance align modern world proximity bunch food convenient could deem positive part neutral part facilities good like classes especially new renovated class bm found poor class bv theatre library good benchmark theatre road serviceable bad part management slow frustrating could annoying event super best student representative council barely noticeable general bunch united features towards right direction lacking execution
2025/02/10 8:02:44 pm GMT+8,"in my opinion UNITEN offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways UNITEN makes the student life a ""hassle"". First for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in UNITEN UCC. although there are many whom help with the issue. Many are created with neglect of the Ucc staff. ",opinion united offers great opportunities terms exploring preparing future many ways united makes student life hassle first longest times walkway students bike road damaged filled holes cause accidents issues another issue admins united ucc although many help issue many created neglect ucc staff
2025/02/10 8:03:01 pm GMT+8,"As a UNITEN student, I’ve had a great experience so far. Lecturers are knowledgeable and approachable, always willing to help when needed. The campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. The academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. There are also many clubs and activities to join, making campus life more enjoyable. Overall, UNITEN provides a balanced university experience with quality education and a supportive environment.",united student i’ve great experience far lecturers knowledgeable approachable always willing help needed campus facilities wellmaintained including labs libraries study areas make learning convenient academic workload challenging manageable curriculum industryrelevant preparing us well future careers also many clubs activities join making campus life enjoyable overall united provides balanced university experience quality education supportive environment
2025/02/10 8:03:09 pm GMT+8,"Bad in management. Every sem had a problem about timetable and subject registration. Price per subject very expensive even not related to our programme. Dont have a lot of parking especially at the library. Timetable very very stressful, have class at night ",bad management every sem problem timetable subject registration price per subject expensive even related programme dont lot parking especially library timetable stressful class night
